dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless | unitless | degrees_north | degrees_east | meters | unitless | ISO_8601 | ISO_8601
#field_type: string | string | float | float | float | string | datetime | datetime
Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
IU|CASY|-66.2792|110.5354|10.0|Casey, Antarctica|2009-07-10T00:00:00Z|2012-01-20T00:00:00Z
IU|CCM|38.0557|-91.2446|222.0|Cathedral Cave, Missouri, USA|1996-06-07T21:00:00Z|2011-07-14T00:00:00Z
IU|CHTO|18.8141|98.9443|420.0|Chiang Mai, Thailand|2009-09-19T14:35:27Z|2599-12-31T23:59:59Z
IU|COLA|64.873599|-147.8616|200.0|College Outpost, Alaska, USA|2009-07-09T00:00:00Z|2599-12-31T23:59:59Z
IU|COR|44.5855|-123.3046|110.0|Corvallis, Oregon, USA|2009-09-26T00:00:00Z|2599-12-31T23:59:59Z
IU|CTAO|-20.0882|146.2545|357.0|Charters Towers, Australia|2011-04-29T03:00:00Z|2599-12-31T23:59:59Z
IU|DAV|7.0697|125.5791|150.0|Davao, Philippines|2009-06-22T00:00:00Z|2011-07-22T00:00:00Z
IU|DWPF|28.1103|-81.4327|30.0|Disney Wilderness Preserve, Florida, USA|2010-09-24T00:00:00Z|2599-12-31T23:59:59Z
IU|FUNA|-8.5259|179.1966|20.0|Funafuti, Tuvalu|2011-01-12T00:00:00Z|2599-12-31T23:59:59Z
IU|FURI|8.8952|38.6798|2570.0|Mt. Furi, Ethiopia|2009-10-04T00:00:00Z|2012-10-26T00:00:00Z
IU|GNI|40.148|44.741|1609.0|Garni, Armenia|2010-10-07T00:00:00Z|2599-12-31T23:59:59Z
IU|GUMO|13.5893|144.8684|170.0|Guam, Mariana Islands|2010-01-12T00:00:00Z|2599-12-31T23:59:59Z
IU|HKT|29.9618|-95.8384|-413.0|Hockley, Texas|2008-09-12T00:00:00Z|2011-09-27T00:00:00Z
IU|HNR|-9.4387|159.9475|100.0|Honiara, Solomon Islands|2010-04-24T00:00:00Z|2599-12-31T23:59:59Z
IU|HRV|42.5064|-71.5583|200.0|Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA|2008-09-22T00:00:00Z|2599-12-31T23:59:59Z
IU|INCN|37.4776|126.6239|80.0|Inchon, Republic of Korea|2009-11-16T03:00:00Z|2012-10-16T00:00:00Z
IU|JOHN|16.7329|-169.5292|2.0|Johnston Island, USA|2010-08-09T00:00:00Z|2599-12-31T23:59:59Z
IU|KBS|78.9154|11.9385|90.0|Ny-Alesund, Spitzbergen, Norway|2010-06-08T00:00:00Z|2599-12-31T23:59:59Z
